BGC0000377	s__Bacillus_sp_NK2003
BGC0000378	s__Kutzneria_sp_744
BGC0000379	s__Streptomyces_viridochromogenes
BGC0000380	s__Sorangium_cellulosum
BGC0000381	s__Bacillus_licheniformis
BGC0000382	s__Streptomyces_toxytricini
BGC0000383	s__Photorhabdus_laumondii
BGC0000384	s__Lyngbya_majuscula
BGC0000385	s__Lysobacter_sp_ATCC_53042
BGC0000386	s__Burkholderia_thailandensis
BGC0000387	s__Pseudomonas_syringae
BGC0000388	s__Streptomyces_hygroscopicus
BGC0000389	s__Pseudomonas_fluorescens
BGC0000391	s__Marinactinospora_thermotolerans
BGC0000392	s__Actinosynnema_mirum
BGC0000393	s__Myxococcus_xanthus
BGC0000394	s__Streptomyces_lusitanus
BGC0000395	s__Nocardia_uniformis
BGC0000396	s__Nostoc_sp_73.1
BGC0000397	s__Nostoc_sp_ATCC_53789
BGC0000398	s__Pseudomonas_sp_CMR12a
BGC0000399	s__Pseudomonas_protegens
BGC0000400	s__Paenibacillus_sp_OSY_SE
BGC0000401	s__Paenibacillus_elgii
BGC0000402	s__Paenibacillus_larvae
BGC0000403	s__Paenibacillus_elgii
BGC0000404	s__Penicillium_chrysogenum
BGC0000405	s__Penicillium_chrysogenum
BGC0000406	s__Streptomyces_viridochromogenes
BGC0000407	s__Bacillus_subtilis
BGC0000408	s__Paenibacillus_polymyxa
BGC0000409	s__Streptomyces_albus
BGC0000410	s__Pseudomonas_fluorescens
BGC0000411	s__Pseudomonas_putida
BGC0000412	s__Pseudomonas_aeruginosa
BGC0000413	s__Pseudomonas_protegens
BGC0000414	s__Streptomyces_melanovinaceus
BGC0000415	s__Streptomyces_griseovariabilis
BGC0000416	s__Xenorhabdus_nematophila
BGC0000417	s__Rhodococcus_jostii
BGC0000418	s__Amycolatopsis_lurida
BGC0000419	s__Amycolatopsis_japonica
BGC0000420	s__Penicillium_rubens
BGC0000421	s__Pseudomonas_fluorescens
BGC0000422	s__Streptomyces_lavendulae
BGC0000423	s__Streptomyces_scabiei
BGC0000424	s__Herbaspirillum_seropedicae
BGC0000425	s__Pseudomonas_sp_CMR12a
BGC0000426	s__Paenibacillus_larvae
BGC0000427	s__Trichormus_variabilis
BGC0000428	s__Streptosporangium_sibiricum
BGC0000429	s__Streptomyces_sp_Acta_2897
BGC0000430	s__Nodularia_spumigena
BGC0000431	s__Streptomyces_filamentosus
BGC0000432	s__Streptomyces_rochei
BGC0000433	s__Bacillus_velezensis
BGC0000434	s__Streptomyces_sp_SNA15896
BGC0000435	s__Pseudomonas_syringae
BGC0000436	s__Rhizobium_sp_AP16
BGC0000437	s__Pseudomonas_syringae
BGC0000438	s__Pseudomonas_syringae
BGC0000439	s__Saccharomonospora_sp_CNQ490
BGC0000440	s__Actinoplanes_teichomyceticus
BGC0000441	s__Actinoplanes_teichomyceticus
